Country,L2016,L2017,L2018,L2019,L2020
Aruba,75.617,75.903,76.072,76.248,75.723
Africa Eastern and Southern,62.4440502,62.92238962,63.36586261,63.75567792,63.31386033
Afghanistan,63.136,63.016,63.081,63.565,62.575
Africa Western and Central,56.58167849,56.88844583,57.18913927,57.55579555,57.22637273
Angola,61.092,61.68,62.144,62.448,62.261
Albania,78.86,79.047,79.184,79.282,76.989
Andorra,,,,,
Arab World,70.94306228,71.429596,71.63301665,71.84462603,70.92335959
United Arab Emirates,79.335,79.504,79.627,79.726,78.946
Argentina,76.308,76.833,76.999,77.284,75.892
Armenia,74.664,74.906,75.064,75.439,72.173
American Samoa,,,,,
Antigua and Barbuda,78.152,78.268,78.511,78.691,78.841
Australia,82.44878049,82.5,82.74878049,82.9,83.2
Austria,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293
Azerbaijan,72.004,72.248,72.76,73.102,66.868
Burundi,60.793,61.553,61.688,62.351,61.566
Belgium,81.43902439,81.49268293,81.59512195,81.99512195,80.69512195
Benin,59.539,59.856,60.14,60.454,60.088
Burkina Faso,59.326,59.536,60.047,60.039,59.731
Bangladesh,71.09,71.788,72.567,72.806,71.968
Bulgaria,74.81219512,74.81463415,74.96341463,75.11219512,73.65853659
Bahrain,79.557,79.689,79.857,80.019,79.174
"Bahamas, The",73.537,73.632,73.806,71.205,72.677
Bosnia and Herzegovina,76.808,76.935,77.093,77.241,76.225
Belarus,73.82682927,74.12926829,74.17560976,74.22682927,72.45721951
Belize,73.399,73.562,73.703,73.931,72.854
Bermuda,80.608,82.351,80.825,81.033,81.136
Bolivia,67.628,67.701,67.748,67.841,64.467
Brazil,74.442,74.827,75.109,75.338,74.009
Barbados,76.815,76.936,77.067,77.257,77.393
Brunei Darussalam,74.733,74.722,74.712,74.748,74.795
Bhutan,70.602,70.847,71.129,71.391,71.609
Botswana,65.464,66.753,65.422,65.464,65.647
Central African Rep,53.46,53.721,54.369,55.025,54.604
Canada,81.92487805,81.83292683,81.84390244,82.22878049,81.6704878
Central Europe and the Baltics,76.96981142,76.94744264,76.97682268,77.26684467,76.08771684
Switzerland,83.60243902,83.55121951,83.75365854,83.90487805,83
Channel Islands,81.366,81.331,81.375,81.39,81.264
Chile,80.079,80.35,80.133,80.326,79.377
China,77.218,77.248,77.744,77.968,78.077
Cote d'Ivoire,58.06,58.48,58.849,59.319,59.032
Cameroon,60.233,60.81,61.18,61.584,60.833
"Dem. Rep, Congo",59.066,59.411,59.942,60.276,59.739
"Congo, Rep.",63.577,63.76,64.053,62.747,63.785
Colombia,76.471,76.646,76.748,76.752,74.769
Comoros,63.237,63.625,63.912,64.068,64.166
Cabo Verde,75.742,76.593,75.733,76.004,74.808
Costa Rica,79.459,79.377,79.484,79.427,79.277
Caribbean small states,72.5605217,72.60089458,72.58368687,72.52340995,72.57920388
Cuba,77.643,77.529,77.496,77.611,77.567
Curacao,77.7195122,78.01707317,,,
Cayman Islands,,,,,
Cyprus,81.056,81.328,81.382,81.397,81.391
Czechia,79.02682927,78.97804878,79.02926829,79.22926829,78.22682927
Germany,80.9902439,80.99268293,80.89268293,81.29268293,81.04146341
Djibouti,62.191,62.797,63.038,63.085,62.694
Dominica,70.128,67.525,73.59,73.559,73.649
Denmark,80.85365854,81.10243902,80.95365854,81.45121951,81.60243902
Dominican Republic,72.987,73.063,73.232,73.577,72.889
Algeria,75.732,75.743,76.066,76.474,74.453
East Asia & Pacific (excluding high income),75.32186322,75.38591132,75.80143372,76.0020203,75.93602464
Early-demographic dividend,70.21988336,70.54205655,70.79770566,71.01658296,70.02998828
East Asia & Pacific,76.13792375,76.21239638,76.59417271,76.79777484,76.76194199
Europe & Central Asia (excluding high income),72.8986354,73.40791613,73.60952651,73.9038168,72.2166617
Europe & Central Asia,77.56514697,77.77863318,77.91145458,78.18624804,76.95919096
Ecuador,76.763,76.972,77.094,77.297,72.153
"Egypt, Arab Rep.",70.844,71.302,71.367,71.358,70.99
Euro area,81.95633831,81.93453307,82.05155281,82.32775602,81.53792022
Eritrea,66.289,66.577,67.067,67.3,67.133
Spain,83.32926829,83.28292683,83.43170732,83.83170732,82.33170732
Estonia,77.64146341,78.09268293,78.24390244,78.64634146,78.59512195
Ethiopia,64.392,64.838,65.412,65.838,65.371
European Union,80.95129748,80.93259862,81.028729,81.31485796,80.45209305
Fragile and conflict affected situations,61.291999,61.65653622,61.97135318,62.26889953,61.76175891
Finland,81.42926829,81.63170732,81.73414634,81.98292683,81.93170732
Fiji,67.24,67.79,67.81,67.893,67.924
France,82.57317073,82.57560976,82.67560976,82.82682927,82.17560976
Faroe Islands,82.04390244,82.34390244,82.59512195,82.94634146,83.19756098
"Micronesia, Fed. Sts.",71.595,71.467,71.318,71.077,70.674
Gabon,65.802,66.189,66.306,66.603,66.531
